Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,7.4249884887479505,5,0,708,6
2,7.4249884887479505,5,0,708,6
3,7.4249884887479505,5,0,708,6
4,7.4249884887479505,5,0,708,6
5,7.4249884887479505,5,0,708,6
6,7.4249884887479505,5,0,708,6
7,7.4249884887479505,5,0,708,6
8,7.4249884887479505,5,0,708,6
9,7.4249884887479505,5,0,708,6
10,7.4249884887479505,5,0,708,6
11,2.8171495196870886,4,0,708,6
12,2.8171495196870886,4,0,708,6
13,2.8171495196870886,4,0,708,6
14,1.794872340363506,2,0,708,6
15,1.794872340363506,2,0,708,6
16,1.5093086486370648,2,0,708,6
17,0.8039250469498516,2,0,708,6
18,0.8039250469498516,2,0,708,6
19,0.4166882192854633,2,0,708,6
20,0.4166882192854633,2,0,708,6
21,0.4166882192854633,2,0,708,6
22,0.4166882192854633,2,0,708,6
23,0.4166882192854633,2,0,708,6
24,0.4166882192854633,2,0,708,6
25,0,0,0,708,6
