Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,1.5817238199544263,3,0,155,0
2,1.5817238199544263,3,0,155,0
3,1.5817238199544263,3,0,155,0
4,1.5817238199544263,3,0,155,0
5,1.5817238199544263,3,0,155,0
6,1.3111441798619836,3,0,155,0
7,1.3111441798619836,3,0,155,0
8,1.3111441798619836,3,0,155,0
9,1.3111441798619836,3,0,155,0
10,1.3111441798619836,3,0,155,0
11,1.3111441798619836,3,0,155,0
12,1.3111441798619836,3,0,155,0
13,1.3111441798619836,3,0,155,0
14,1.3111441798619836,3,0,155,0
15,0.16734693105680876,2,0,155,0
16,0,0,0,155,0
