Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,8.848622608963879,5,0,191,0
2,8.848622608963879,5,0,191,0
3,8.848622608963879,5,0,191,0
4,8.848622608963879,5,0,191,0
5,8.848622608963879,5,0,191,0
6,8.848622608963879,5,0,191,0
7,7.631008139198663,3,0,191,0
8,1.3408663630172484,4,0,191,0
9,1.3408663630172484,4,0,191,0
10,1.3408663630172484,4,0,191,0
11,1.3408663630172484,4,0,191,0
12,1.3408663630172484,4,0,191,0
13,1.3408663630172484,4,0,191,0
14,1.3408663630172484,4,0,191,0
15,1.3408663630172484,4,0,191,0
16,1.2554008779199712,3,0,191,0
17,0.15761799994729842,2,0,191,0
18,0,0,0,191,0
