Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,0.7094684172357759,2,0,553,4
2,0.7094684172357759,2,0,553,4
3,0.7094684172357759,2,0,553,4
4,0.7094684172357759,2,0,553,4
5,0.7094684172357759,2,0,553,4
6,0.7094684172357759,2,0,553,4
7,0.29791811946209634,2,0,553,4
8,0.29791811946209634,2,0,553,4
9,0.29791811946209634,2,0,553,4
10,0.012244572192308567,2,0,553,4
11,0.012244572192308567,2,0,553,4
12,0.012244572192308567,2,0,553,4
13,0.012244572192308567,2,0,553,4
14,0,0,0,553,4
