Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,6.748816538592427,4,0,125,1
2,6.748816538592427,4,0,125,1
3,6.748816538592427,4,0,125,1
4,6.748816538592427,4,0,125,1
5,6.748816538592427,4,0,125,1
6,6.748816538592427,4,0,125,1
7,6.748816538592427,4,0,125,1
8,4.962717928368737,5,0,125,1
9,4.962717928368737,5,0,125,1
10,4.962717928368737,5,0,125,1
11,4.962717928368737,5,0,125,1
12,4.962717928368737,5,0,125,1
13,4.962717928368737,5,0,125,1
14,4.962717928368737,5,0,125,1
15,4.962717928368737,5,0,125,1
16,4.962717928368737,5,0,125,1
17,3.1219431328088003,5,0,125,1
18,3.1219431328088003,5,0,125,1
19,3.1219431328088003,5,0,125,1
20,3.1219431328088003,5,0,125,1
21,3.1219431328088003,5,0,125,1
22,3.1219431328088003,5,0,125,1
23,3.1219431328088003,5,0,125,1
24,3.1219431328088003,5,0,125,1
25,3.1219431328088003,5,0,125,1
26,3.1219431328088003,5,0,125,1
27,2.917311707484189,4,0,125,1
28,2.917311707484189,4,0,125,1
29,2.917311707484189,4,0,125,1
30,2.917311707484189,4,0,125,1
31,2.640257432577193,4,0,125,1
32,2.640257432577193,4,0,125,1
33,0.4617395890861147,2,0,125,1
34,0,0,0,125,1
