Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,2.2502472759890715,2,0,802,8
2,0.2800779965653106,2,0,802,8
3,0.00982864210166845,2,0,802,8
4,0.00982864210166845,2,0,802,8
5,0.00982864210166845,2,0,802,8
6,0.00982864210166845,2,0,802,8
7,0.00982864210166845,2,0,802,8
8,0.00982864210166845,2,0,802,8
9,0.00982864210166845,2,0,802,8
10,0.00982864210166845,2,0,802,8
11,0.00982864210166845,2,0,802,8
12,0.00982864210166845,2,0,802,8
13,0.00982864210166845,2,0,802,8
