Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,13.656046691899293,2,0,28,0
2,12.899446621148455,2,0,28,0
3,9.706998950606282,4,0,28,0
4,6.957285054252107,4,0,28,0
5,6.957285054252107,4,0,28,0
6,6.957285054252107,4,0,28,0
7,6.957285054252107,4,0,28,0
8,6.957285054252107,4,0,28,0
9,6.957285054252107,4,0,28,0
10,6.957285054252107,4,0,28,0
11,6.957285054252107,4,0,28,0
12,6.957285054252107,4,0,28,0
13,6.957285054252107,4,0,28,0
14,6.957285054252107,4,0,28,0
