Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,1.392001953441671,3,0,846,9
2,1.392001953441671,3,0,846,9
3,1.392001953441671,3,0,846,9
4,1.392001953441671,3,0,846,9
5,1.392001953441671,3,0,846,9
6,0.10012193875399866,2,0,846,9
7,0.10012193875399866,2,0,846,9
8,0.10012193875399866,2,0,846,9
9,0.10012193875399866,2,0,846,9
10,0.10012193875399866,2,0,846,9
11,0.10012193875399866,2,0,846,9
12,0.10012193875399866,2,0,846,9
13,0.05043662881500843,2,0,846,9
14,0.05043662881500843,2,0,846,9
15,0.05043662881500843,2,0,846,9
16,0.05043662881500843,2,0,846,9
17,0,0,0,846,9
