Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,15.371769256740187,4,0,99,1
2,15.371769256740187,4,0,99,1
3,15.371769256740187,4,0,99,1
4,15.371769256740187,4,0,99,1
5,10.345592467225405,5,0,99,1
6,10.345592467225405,5,0,99,1
7,10.345592467225405,5,0,99,1
8,10.345592467225405,5,0,99,1
9,10.345592467225405,5,0,99,1
10,10.345592467225405,5,0,99,1
11,7.791586946197432,3,0,99,1
12,7.791586946197432,3,0,99,1
13,4.630129829657708,3,0,99,1
14,1.896092956612403,3,0,99,1
15,1.896092956612403,3,0,99,1
16,1.896092956612403,3,0,99,1
17,1.896092956612403,3,0,99,1
18,1.896092956612403,3,0,99,1
19,1.2016210448277747,2,0,99,1
20,1.2016210448277747,2,0,99,1
21,0,0,0,99,1
