Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,17.339285984405052,5,0,591,4
2,17.339285984405052,5,0,591,4
3,16.11909094764787,5,0,591,4
4,13.367952254689037,6,0,591,4
5,13.367952254689037,6,0,591,4
6,13.367952254689037,6,0,591,4
7,13.367952254689037,6,0,591,4
8,13.367952254689037,6,0,591,4
9,13.367952254689037,6,0,591,4
10,13.367952254689037,6,0,591,4
11,13.367952254689037,6,0,591,4
12,13.367952254689037,6,0,591,4
13,13.367952254689037,6,0,591,4
14,13.367952254689037,6,0,591,4
