Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,8.975530057304672,4,0,823,8
2,8.975530057304672,4,0,823,8
3,2.6960206733896968,6,0,823,8
4,2.6960206733896968,6,0,823,8
5,2.6960206733896968,6,0,823,8
6,2.6960206733896968,6,0,823,8
7,2.6960206733896968,6,0,823,8
8,2.6960206733896968,6,0,823,8
9,2.6960206733896968,6,0,823,8
10,2.6960206733896968,6,0,823,8
11,2.6960206733896968,6,0,823,8
12,2.6960206733896968,6,0,823,8
13,1.2258788289066622,4,0,823,8
14,1.2258788289066622,4,0,823,8
15,1.2258788289066622,4,0,823,8
16,1.2258788289066622,4,0,823,8
17,1.2258788289066622,4,0,823,8
18,1.2258788289066622,4,0,823,8
19,0.8347407307390728,2,0,823,8
20,0.8347407307390728,2,0,823,8
21,0.8347407307390728,2,0,823,8
22,0.8347407307390728,2,0,823,8
23,0.8347407307390728,2,0,823,8
24,0,0,0,823,8
