Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,15.623061162225843,5,0,639,5
2,15.623061162225843,5,0,639,5
3,15.623061162225843,5,0,639,5
4,15.623061162225843,5,0,639,5
5,15.623061162225843,5,0,639,5
6,15.623061162225843,5,0,639,5
7,15.623061162225843,5,0,639,5
8,15.623061162225843,5,0,639,5
9,14.235913466827668,7,0,639,5
10,14.235913466827668,7,0,639,5
11,14.235913466827668,7,0,639,5
12,14.235913466827668,7,0,639,5
13,14.235913466827668,7,0,639,5
14,14.235913466827668,7,0,639,5
15,14.235913466827668,7,0,639,5
16,14.235913466827668,7,0,639,5
17,14.235913466827668,7,0,639,5
18,11.475888764227317,8,0,639,5
19,11.475888764227317,8,0,639,5
20,11.475888764227317,8,0,639,5
21,11.475888764227317,8,0,639,5
22,11.475888764227317,8,0,639,5
23,7.8561433851607525,9,0,639,5
24,7.8561433851607525,9,0,639,5
25,6.918764152283671,7,0,639,5
26,6.918764152283671,7,0,639,5
27,6.918764152283671,7,0,639,5
28,6.918764152283671,7,0,639,5
29,6.918764152283671,7,0,639,5
30,0.7139526738781612,4,0,639,5
31,0.7139526738781612,4,0,639,5
32,0.7139526738781612,4,0,639,5
33,0,0,0,639,5
