Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,7.00025611709701,3,0,75,1
2,7.00025611709701,3,0,75,1
3,6.103674166973538,4,0,75,1
4,6.103674166973538,4,0,75,1
5,6.103674166973538,4,0,75,1
6,6.103674166973538,4,0,75,1
7,6.103674166973538,4,0,75,1
8,5.034028785755172,3,0,75,1
9,5.034028785755172,3,0,75,1
10,5.034028785755172,3,0,75,1
11,4.605587523001228,3,0,75,1
12,4.605587523001228,3,0,75,1
13,4.605587523001228,3,0,75,1
14,4.605587523001228,3,0,75,1
15,4.605587523001228,3,0,75,1
16,4.605587523001228,3,0,75,1
17,3.361957145117458,3,0,75,1
18,0.12800238524637386,2,0,75,1
19,0,0,0,75,1
