Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,5.2640973077073205,5,0,126,2
2,5.2640973077073205,5,0,126,2
3,5.2640973077073205,5,0,126,2
4,5.2640973077073205,5,0,126,2
5,5.2640973077073205,5,0,126,2
6,5.2640973077073205,5,0,126,2
7,5.2640973077073205,5,0,126,2
8,5.2640973077073205,5,0,126,2
9,5.2640973077073205,5,0,126,2
10,1.2883648161991843,2,0,126,2
11,1.2883648161991843,2,0,126,2
12,1.2883648161991843,2,0,126,2
13,0.08374580246367813,2,0,126,2
14,0.08374580246367813,2,0,126,2
15,0.08374580246367813,2,0,126,2
16,0,0,0,126,2
