Gebiet-Name:
siedler5

Gesundheitszentren:


Ortschaften:
(42.99136570923635, 63.67087098528536)
(138.8786405689951, 95.65276552615238)
(106.33511292532525, 89.69601511497082)
(98.92081346621275, 60.55762273316541)
(181.94543364636075, 48.46357820844706)
(86.6751801204334, 37.363617540094374)
(161.9224740135067, 81.93399244955421)
(83.05213138992849, 95.51365684767725)
(124.45832537815744, 0.9115295488526236)
(167.5788381070302, 13.711361719914233)
(188.4951562230822, 89.1583009212918)
(134.4643927452061, 56.001604381945825)
(146.36711513431823, 38.52612098616003)
(20.86881355444988, 72.3527154729847)
(63.52941348313438, 58.75415192951401)

zunahe Ortschaften:


geschuetzte Ortschaften:


Ortschaften ausserhalb dem Gebiet:
