Gebiet-Name:
siedler5

Gesundheitszentren:


Ortschaften:
(107.70402262382429, 65.34900023471637)
(171.39979710268312, 70.94435350830278)
(96.12034578337685, 37.74578291992738)
(189.99448062706531, 95.97521584478416)
(121.73735083207238, 51.00551499984836)
(25.579735060844133, 78.5593324668769)
(84.86032539551788, 96.27715050205332)
(134.70133513608627, 93.62889345862364)
(111.44640825285165, 92.13761657410298)
(48.432529730213275, 44.32563213922849)
(43.687663694724606, 64.95592065685189)
(61.07604252082836, 98.93556770577399)
(143.07924005354167, 35.93099268521373)
(139.25947892015932, 14.943813789660455)
(166.05372923446268, 94.98202220786645)
(167.44253950263032, 16.115930553954016)
(38.96186372524055, 96.98263724512984)
(139.6593038709024, 66.77665808024896)
(86.8722692032007, 74.4728427366619)
(63.02838234020089, 71.3482248334971)
(187.68451330618495, 39.37070132877554)
(117.91594326219943, 1.4966070034095318)
(81.06011047033618, 52.56030012299359)

zunahe Ortschaften:


geschuetzte Ortschaften:


Ortschaften ausserhalb dem Gebiet:
