Gebiet-Name:
siedler5

Gesundheitszentren:


Ortschaften:
(117.88647189154707, 9.775206943066493)
(162.46389130475814, 14.741204347891042)
(24.093273145220746, 62.95328122364793)
(112.40497213702444, 81.4854599635614)
(138.26438058986415, 93.24583179639528)
(86.76605182754165, 24.591079128151392)
(188.67118830061094, 56.70636007292437)
(143.7962460159254, 51.27235954958176)
(89.66331889485807, 73.65172364722896)
(156.40796486862612, 84.5307033239173)
(127.74040522337533, 68.56994878805486)
(179.1289330837828, 85.79955392101049)
(64.54442291036473, 65.41062806157518)

zunahe Ortschaften:


geschuetzte Ortschaften:


Ortschaften ausserhalb dem Gebiet:
