Gebiet-Name:
siedler5

Gesundheitszentren:


Ortschaften:
(107.70402262382429, 65.34900023471637)
(170.24224381879569, 91.79239312524214)
(182.11631641839156, 51.177922657651216)
(127.85114282830877, 80.05358913744664)
(171.39979710268312, 70.94435350830278)
(189.99448062706531, 95.97521584478416)
(139.19992735304197, 62.892856486497465)
(25.579735060844133, 78.5593324668769)
(174.0631238584029, 10.284559699989426)
(84.86032539551788, 96.27715050205332)
(111.44640825285165, 92.13761657410298)
(48.432529730213275, 44.32563213922849)
(43.687663694724606, 64.95592065685189)
(61.07604252082836, 98.93556770577399)
(143.07924005354167, 35.93099268521373)
(148.66698005694158, 85.94654743903226)
(139.25947892015932, 14.943813789660455)
(81.06011047033618, 52.56030012299359)
(112.12607976826762, 34.76613415204172)
(38.96186372524055, 96.98263724512984)
(86.8722692032007, 74.4728427366619)
(63.02838234020089, 71.3482248334971)
(165.03216530448606, 32.463911923268306)
(117.91594326219943, 1.4966070034095318)
(89.9087748178446, 31.36114031485662)

zunahe Ortschaften:


geschuetzte Ortschaften:


Ortschaften ausserhalb dem Gebiet:
