Gebiet-Name:
siedler5

Gesundheitszentren:


Ortschaften:
(117.88647189154707, 9.775206943066493)
(162.46389130475814, 14.741204347891042)
(138.26438058986415, 93.24583179639528)
(188.67118830061094, 56.70636007292437)
(143.7962460159254, 51.27235954958176)
(89.66331889485807, 73.65172364722896)
(156.40796486862612, 84.5307033239173)
(134.17464173342498, 73.22083517346367)
(179.1289330837828, 85.79955392101049)
(64.54442291036473, 65.41062806157518)

zunahe Ortschaften:


geschuetzte Ortschaften:


Ortschaften ausserhalb dem Gebiet:
