Gebiet-Name:
siedler5

Gesundheitszentren:


Ortschaften:
(107.70402262382429, 65.34900023471637)
(134.5704851548664, 10.913826310824028)
(170.24224381879569, 91.79239312524214)
(127.85114282830877, 80.05358913744664)
(171.39979710268312, 70.94435350830278)
(111.75203452458089, 0.5820434724294712)
(189.99448062706531, 95.97521584478416)
(167.36869399860907, 0.5508863309906955)
(139.19992735304197, 62.892856486497465)
(156.83408680055973, 18.346297334870275)
(25.579735060844133, 78.5593324668769)
(84.86032539551788, 96.27715050205332)
(182.80970010151347, 21.039091509360706)
(111.44640825285165, 92.13761657410298)
(48.432529730213275, 44.32563213922849)
(43.687663694724606, 64.95592065685189)
(61.07604252082836, 98.93556770577399)
(143.07924005354167, 35.93099268521373)
(148.66698005694158, 85.94654743903226)
(163.85632323105432, 43.549156364928784)
(81.06011047033618, 52.56030012299359)
(112.12607976826762, 34.76613415204172)
(38.96186372524055, 96.98263724512984)
(185.50242184985197, 48.379583179109034)
(86.8722692032007, 74.4728427366619)
(63.02838234020089, 71.3482248334971)
(89.9087748178446, 31.36114031485662)

zunahe Ortschaften:


geschuetzte Ortschaften:


Ortschaften ausserhalb dem Gebiet:
