Gebiet-Name:
siedler5

Gesundheitszentren:


Ortschaften:
(82.99407575625142, 90.37320176647799)
(99.45873155819471, 68.45548804904655)
(138.51848572880692, 28.87486052839062)
(38.69807471879625, 54.298388746613405)
(96.12034578337685, 37.74578291992738)
(189.99448062706531, 95.97521584478416)
(25.579735060844133, 78.5593324668769)
(165.24867407461778, 89.49763465546197)
(134.70133513608627, 93.62889345862364)
(111.44640825285165, 92.13761657410298)
(131.33444757774848, 5.418079874619808)
(136.95839347804628, 61.28456583926727)
(53.96591335921561, 67.72839469494774)
(167.44253950263032, 16.115930553954016)
(187.68451330618495, 39.37070132877554)
(81.06011047033618, 52.56030012299359)

zunahe Ortschaften:


geschuetzte Ortschaften:


Ortschaften ausserhalb dem Gebiet:
