Gebiet-Name:
siedler5

Gesundheitszentren:


Ortschaften:
(138.51848572880692, 28.87486052839062)
(38.69807471879625, 54.298388746613405)
(171.39979710268312, 70.94435350830278)
(96.12034578337685, 37.74578291992738)
(85.96544956011627, 98.16129492872842)
(189.99448062706531, 95.97521584478416)
(25.579735060844133, 78.5593324668769)
(134.70133513608627, 93.62889345862364)
(111.44640825285165, 92.13761657410298)
(67.93968690499088, 84.92560390553808)
(131.33444757774848, 5.418079874619808)
(136.95839347804628, 61.28456583926727)
(53.96591335921561, 67.72839469494774)
(166.05372923446268, 94.98202220786645)
(167.44253950263032, 16.115930553954016)
(107.61080941494544, 60.870470637509264)
(86.8722692032007, 74.4728427366619)
(47.843643184569714, 91.45814881037306)
(187.68451330618495, 39.37070132877554)
(81.06011047033618, 52.56030012299359)

zunahe Ortschaften:


geschuetzte Ortschaften:


Ortschaften ausserhalb dem Gebiet:
