#Ortschaften,#Gesundheitszentren,#BenoetigteIterationen
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,1
7,0,1
8,0,0
9,0,2
10,0,1
11,0,0
12,0,2
13,0,0
14,0,5
15,0,11
16,0,0
17,0,3
18,0,2
19,0,4
20,0,4
21,0,34
22,0,32
23,0,58
24,0,37
25,0,54
26,0,5
27,0,126
28,0,90
29,0,94
30,0,110
31,0,60
32,0,29
33,0,62
34,0,931
35,0,305
36,0,729
37,0,841
38,1,1271
39,1,1
40,1,1
41,1,0
42,1,1
43,1,0
44,1,12
45,1,1
46,1,4
47,1,3
48,1,1
49,1,5
50,1,0
51,1,5
52,1,10
53,1,32
54,1,2
55,1,2
56,1,73
57,1,36
58,1,2
59,1,28
60,1,0
61,1,37
62,1,18
63,1,45
64,1,41
65,1,126
66,1,34
67,1,16
68,1,6
69,1,1
70,1,153
71,1,34
72,1,316
73,1,200
74,1,4
75,1,183
76,1,47
77,1,449
78,1,287
79,1,29
80,1,997
81,1,450
82,3,2760
83,3,772
