#Ortschaften,#Gesundheitszentren,#BenoetigteIterationen
1,0,0
2,0,0
3,0,1
4,0,1
5,0,0
6,0,0
7,0,0
8,0,0
9,0,1
10,0,1
11,0,2
12,0,0
13,0,0
14,0,1
15,0,5
16,0,1
17,0,0
18,0,1
19,0,1
20,0,2
21,0,3
22,0,1
23,0,4
24,0,5
25,0,2
26,0,6
27,0,27
28,0,1
29,0,72
30,0,15
31,0,18
32,0,32
33,0,12
34,0,47
35,0,30
36,0,9
37,0,275
38,0,90
39,0,505
40,0,742
41,0,1013
42,1,1155
43,1,4
44,1,2
45,1,2
46,1,1
47,1,1
48,1,2
49,1,0
50,1,0
51,1,2
52,1,1
53,1,1
54,1,0
55,1,0
56,1,5
57,1,1
58,1,1
59,1,0
60,1,1
61,1,1
62,1,1
63,1,4
64,1,0
65,1,0
66,1,1
67,1,1
68,1,6
69,1,5
70,1,5
71,1,1
72,1,2
73,1,1
74,1,2
75,1,19
76,1,1
77,1,10
78,1,1
79,1,0
80,1,2
81,1,1
82,1,1
83,1,18
84,1,6
85,1,11
86,1,40
87,1,1
88,1,22
89,1,1
90,1,35
91,1,1
92,1,9
93,1,4
94,1,11
95,1,17
96,1,19
97,1,1
98,1,4
99,1,51
100,1,1
101,1,59
102,1,13
103,1,62
104,1,23
105,1,10
106,1,36
107,1,27
108,1,87
109,1,46
110,1,14
111,1,59
112,1,50
113,1,182
114,1,148
115,1,209
116,1,84
117,1,93
118,1,44
119,1,527
120,1,27
121,1,84
122,1,384
123,1,97
124,1,819
125,1,163
126,1,153
127,1,27
128,1,847
129,2,1261
130,2,61
131,2,23
132,3,1124
133,3,69
