#Ortschaften,#Gesundheitszentren,#BenoetigteIterationen
1,0,0
2,0,0
3,0,0
4,0,1
5,0,1
6,0,1
7,0,1
8,0,0
9,0,1
10,0,0
11,0,1
12,0,1
13,0,0
14,0,1
15,0,1
16,0,2
17,0,10
18,0,1
19,0,13
20,0,21
21,0,4
22,0,18
23,0,1
24,0,2
25,0,23
26,0,35
27,0,2
28,0,25
29,0,0
30,0,15
31,0,26
32,0,16
33,0,74
34,0,66
35,0,38
36,0,13
37,0,1
38,0,189
39,0,188
40,1,1230
41,1,1
42,1,34
43,1,3
44,1,18
45,1,5
46,1,13
47,1,1
48,1,14
49,1,1
50,1,0
51,1,20
52,1,2
53,1,22
54,1,37
55,1,1
56,1,20
57,1,11
58,1,26
59,1,6
60,1,1
61,1,22
62,1,2
63,1,8
64,1,17
65,1,0
66,1,1
67,1,1
68,1,1
69,1,36
70,1,4
71,1,1
72,1,1
73,1,21
74,1,0
75,1,1
76,1,34
77,1,0
78,1,26
79,1,77
80,1,34
81,1,2
82,1,38
83,1,33
84,1,3
85,1,6
86,1,1
87,1,132
88,1,5
89,1,113
90,1,4
91,1,68
92,1,687
93,1,21
94,1,13
95,1,136
96,1,13
97,1,847
98,1,476
99,1,238
100,1,126
101,1,116
102,1,916
103,1,359
104,1,275
105,1,123
106,1,85
107,1,14
108,1,435
109,1,299
110,2,1061
111,2,74
112,2,52
113,2,162
114,2,41
115,2,51
116,2,56
117,2,129
118,2,111
119,2,88
120,2,87
121,2,45
122,2,209
123,2,378
124,2,601
125,2,63
126,2,38
127,2,681
128,2,381
129,2,936
130,3,1841
131,3,112
132,3,110
