Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,9.716400717504714,4,0,23,0
2,9.716400717504714,4,0,23,0
3,5.6582555973561135,5,0,23,0
4,5.6582555973561135,5,0,23,0
5,5.6582555973561135,5,0,23,0
6,1.1261736744043915,5,0,23,0
7,1.1261736744043915,5,0,23,0
8,1.1261736744043915,5,0,23,0
9,1.1261736744043915,5,0,23,0
10,1.1261736744043915,5,0,23,0
11,0.22370782975357884,3,0,23,0
12,0.22370782975357884,3,0,23,0
13,0.22370782975357884,3,0,23,0
14,0.22370782975357884,3,0,23,0
15,0.22370782975357884,3,0,23,0
16,0.22370782975357884,3,0,23,0
17,0.22370782975357884,3,0,23,0
18,0.22370782975357884,3,0,23,0
19,0.22370782975357884,3,0,23,0
20,0.22370782975357884,3,0,23,0
21,0,0,0,23,0
