Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,5.026002524151929,2,0,32,0
2,5.026002524151929,2,0,32,0
3,5.026002524151929,2,0,32,0
4,3.5384460484387965,2,0,32,0
5,3.4693984434629215,3,0,32,0
6,2.844849808380971,4,0,32,0
7,2.844849808380971,4,0,32,0
8,2.844849808380971,4,0,32,0
9,2.844849808380971,4,0,32,0
10,2.844849808380971,4,0,32,0
11,2.844849808380971,4,0,32,0
12,2.844849808380971,4,0,32,0
13,1.0290887989346942,2,0,32,0
14,1.0290887989346942,2,0,32,0
15,1.0290887989346942,2,0,32,0
16,0,0,0,32,0
