Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,14.191343635335205,4,0,38,0
2,14.191343635335205,4,0,38,0
3,14.191343635335205,4,0,38,0
4,14.191343635335205,4,0,38,0
5,14.191343635335205,4,0,38,0
6,13.64441500192111,8,0,38,0
7,13.64441500192111,8,0,38,0
8,13.64441500192111,8,0,38,0
9,13.64441500192111,8,0,38,0
10,13.64441500192111,8,0,38,0
11,13.64441500192111,8,0,38,0
12,13.64441500192111,8,0,38,0
13,13.64441500192111,8,0,38,0
14,13.64441500192111,8,0,38,0
15,13.64441500192111,8,0,38,0
16,13.64441500192111,8,0,38,0
