Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,8.562641720647788,5,0,49,0
2,8.562641720647788,5,0,49,0
3,8.562641720647788,5,0,49,0
4,8.562641720647788,5,0,49,0
5,7.935243044549189,5,0,49,0
6,6.889858369024029,3,0,49,0
7,3.503160340590803,4,0,49,0
8,3.503160340590803,4,0,49,0
9,3.503160340590803,4,0,49,0
10,3.503160340590803,4,0,49,0
11,3.503160340590803,4,0,49,0
12,3.503160340590803,4,0,49,0
13,2.1637342403982807,5,0,49,0
14,2.1637342403982807,5,0,49,0
15,0.09034463066015519,2,0,49,0
16,0.09034463066015519,2,0,49,0
17,0.09034463066015519,2,0,49,0
18,0,0,0,49,0
