Gebiet-Name:
siedler3

Gesundheitszentren:


Ortschaften:
(61.88790192801637, 79.11471675124555)
(105.89106138265039, 105.39031375259918)
(142.0647796117178, 61.53101551540037)
(108.55653797930758, 44.64937056127667)
(86.60337821085142, 63.974503703463085)
(137.12036148644393, 119.68986083973567)
(131.00166629030525, 96.01176056525789)
(95.10224133085111, 87.66616295548869)
(123.13576484468206, 134.2918163960488)
(30.51849526633739, 71.64557564370894)
(73.57755579357914, 98.14302324094203)
(38.75391060335687, 143.05799712266045)
(138.91760173597515, 147.85163881401743)
(108.97275594286774, 70.61339125516245)
(97.47996678839007, 135.62196242669305)

zunahe Ortschaften:


geschuetzte Ortschaften:


Ortschaften ausserhalb dem Gebiet:
