Gebiet-Name:
siedler3

Gesundheitszentren:


Ortschaften:
(105.00239316552975, 102.41774403563947)
(113.22373023061266, 71.95846175787011)
(67.73200899471507, 74.87391750584403)
(95.79759493341035, 59.32010270780116)
(133.71241580929544, 119.353327348564)
(29.436722399783715, 147.1064455020088)
(147.21856397374418, 149.46593319064408)
(137.61740292399492, 98.44448096468176)
(97.56784293400932, 134.83882332624768)
(64.96891161077832, 101.45136036699799)
(137.98246259071746, 55.773395193010614)
(85.4857866989921, 94.08308383295997)
(34.377043166145526, 62.466499172833586)

zunahe Ortschaften:


geschuetzte Ortschaften:


Ortschaften ausserhalb dem Gebiet:
