Gebiet-Name:
siedler3

Gesundheitszentren:


Ortschaften:
(49.16368699269182, 48.414100101578256)
(54.520762266196044, 87.56629127428772)
(120.74728646444932, 131.3190381118823)
(129.22367460488132, 90.954177543843)
(3.554305581629269, 24.951446927128362)
(32.00596809086235, 59.44387076166375)
(110.3935137971198, 70.73173556534803)
(94.89884481290335, 127.26326471360645)
(107.17289302313576, 146.09827745924565)
(116.76408095087768, 43.601582924496455)
(134.80206856864137, 60.65032851559528)
(115.11224660588717, 110.67880337105976)
(86.19468387727558, 76.21454802195649)
(100.97539910897673, 7.994057653658509)
(76.46033570173456, 18.127678119114492)
(10.724470189237772, 5.989796528250658)
(47.59528816534827, 142.032977320614)
(80.04767270901677, 102.76547007441017)
(135.69956886978997, 112.0839193788359)
(142.17817436726367, 149.38719545195636)
(66.80344804394176, 62.247774771902016)
(99.15606740331602, 92.75843957020416)
(93.13884715024821, 36.59336223138589)

zunahe Ortschaften:


geschuetzte Ortschaften:


Ortschaften ausserhalb dem Gebiet:
