Gebiet-Name:
siedler3

Gesundheitszentren:


Ortschaften:
(49.16368699269182, 48.414100101578256)
(54.520762266196044, 87.56629127428772)
(137.79798419428235, 34.470960645942945)
(111.25190882544504, 46.87321677598107)
(120.74728646444932, 131.3190381118823)
(3.554305581629269, 24.951446927128362)
(32.00596809086235, 59.44387076166375)
(94.89884481290335, 127.26326471360645)
(87.1353912826207, 50.05710600937363)
(130.90575667040935, 57.27504679121082)
(107.17289302313576, 146.09827745924565)
(67.00984859387513, 69.10270778005294)
(115.11224660588717, 110.67880337105976)
(86.19468387727558, 76.21454802195649)
(100.97539910897673, 7.994057653658509)
(122.8997833211799, 89.11821734099874)
(76.46033570173456, 18.127678119114492)
(10.724470189237772, 5.989796528250658)
(47.59528816534827, 142.032977320614)
(112.04271489209488, 70.96919060544768)
(80.04767270901677, 102.76547007441017)
(95.09903016974535, 29.089584306559203)
(146.23314522133228, 87.63657291761659)
(23.024205526098314, 99.94180903240542)
(142.17817436726367, 149.38719545195636)
(144.15018028566035, 124.11333438488055)
(99.15606740331602, 92.75843957020416)

zunahe Ortschaften:


geschuetzte Ortschaften:


Ortschaften ausserhalb dem Gebiet:
