Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,3.8153859157912615,4,0,789,7
2,3.8153859157912615,4,0,789,7
3,3.8153859157912615,4,0,789,7
4,3.8153859157912615,4,0,789,7
5,3.8153859157912615,4,0,789,7
6,3.8153859157912615,4,0,789,7
7,3.8153859157912615,4,0,789,7
8,3.3941437314465546,2,0,789,7
9,3.3941437314465546,2,0,789,7
10,3.3941437314465546,2,0,789,7
11,3.3941437314465546,2,0,789,7
12,3.3941437314465546,2,0,789,7
13,0.19651424307760124,2,0,789,7
14,0.19651424307760124,2,0,789,7
15,0,0,0,789,7
