Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,2.0886552514868892,3,0,569,4
2,2.0886552514868892,3,0,569,4
3,2.0886552514868892,3,0,569,4
4,2.0886552514868892,3,0,569,4
5,2.0886552514868892,3,0,569,4
6,2.0886552514868892,3,0,569,4
7,2.0886552514868892,3,0,569,4
8,0.5482562557953425,2,0,569,4
9,0.5482562557953425,2,0,569,4
10,0.5482562557953425,2,0,569,4
11,0.262506767652102,2,0,569,4
12,0.262506767652102,2,0,569,4
13,0.262506767652102,2,0,569,4
14,0.262506767652102,2,0,569,4
15,0.262506767652102,2,0,569,4
16,0,0,0,569,4
