Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,5.703978512860946,3,0,142,2
2,5.703978512860946,3,0,142,2
3,5.253380393738476,4,0,142,2
4,1.9706508283740565,2,0,142,2
5,1.9706508283740565,2,0,142,2
6,0.19149548249289872,2,0,142,2
7,0.19149548249289872,2,0,142,2
8,0.19149548249289872,2,0,142,2
9,0.19149548249289872,2,0,142,2
10,0.10446255435068785,2,0,142,2
11,0.10446255435068785,2,0,142,2
12,0.10446255435068785,2,0,142,2
13,0.10446255435068785,2,0,142,2
14,0.10446255435068785,2,0,142,2
15,0.10446255435068785,2,0,142,2
16,0.10446255435068785,2,0,142,2
17,0.10446255435068785,2,0,142,2
18,0.10446255435068785,2,0,142,2
19,0,0,0,142,2
