Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,10.704822615965393,3,0,561,4
2,8.708816435825286,4,0,561,4
3,6.317198841805155,3,0,561,4
4,6.317198841805155,3,0,561,4
5,4.940176653224146,3,0,561,4
6,4.940176653224146,3,0,561,4
7,4.940176653224146,3,0,561,4
8,4.940176653224146,3,0,561,4
9,4.940176653224146,3,0,561,4
10,2.3086699320322417,2,0,561,4
11,1.7819602519151871,2,0,561,4
12,1.6268160091813932,2,0,561,4
13,1.6268160091813932,2,0,561,4
14,1.6268160091813932,2,0,561,4
15,0,0,0,561,4
