Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,2.0878663504886674,3,0,56,1
2,2.0878663504886674,3,0,56,1
3,1.1817240510961078,4,0,56,1
4,1.1817240510961078,4,0,56,1
5,1.1817240510961078,4,0,56,1
6,1.1817240510961078,4,0,56,1
7,0.8020072854116869,2,0,56,1
8,0.8020072854116869,2,0,56,1
9,0.5211288593455379,4,0,56,1
10,0.5211288593455379,4,0,56,1
11,0.5211288593455379,4,0,56,1
12,0.5211288593455379,4,0,56,1
13,0.24726164952376273,2,0,56,1
14,0.24726164952376273,2,0,56,1
15,0.24726164952376273,2,0,56,1
16,0.24726164952376273,2,0,56,1
17,0,0,0,56,1
