#Ortschaften,#Gesundheitszentren,#BenoetigteIterationen
1,0,0
2,0,0
3,0,0
4,0,0
5,0,1
6,0,1
7,0,1
8,0,0
9,0,0
10,0,0
11,0,0
12,0,2
13,0,2
14,0,1
15,0,2
16,0,13
17,0,4
18,0,0
19,0,0
20,0,1
21,0,0
22,0,0
23,0,0
24,0,2
25,0,12
26,0,0
27,0,26
28,0,3
29,0,2
30,0,19
31,0,1
32,0,5
33,0,1
34,0,2
35,0,43
36,0,3
37,0,0
38,0,40
39,0,20
40,0,10
41,0,36
42,0,79
43,0,19
44,0,51
45,0,221
46,0,14
47,0,229
48,0,372
49,0,462
50,1,1103
51,1,0
52,1,1
53,1,5
54,1,6
55,1,1
56,1,3
57,1,4
58,1,2
59,1,1
60,1,3
61,1,4
62,1,0
63,1,0
64,1,1
65,1,5
66,1,1
67,1,0
68,1,0
69,1,0
70,1,1
71,1,3
72,1,1
73,1,0
74,1,2
75,1,1
76,1,0
77,1,1
78,1,1
79,1,2
80,1,17
81,1,4
82,1,0
83,1,1
84,1,3
85,1,0
86,1,4
87,1,0
88,1,15
89,1,2
90,1,5
91,1,0
92,1,0
93,1,4
94,1,2
95,1,1
96,1,1
97,1,0
98,1,13
99,1,4
100,1,12
101,1,3
102,1,23
103,1,26
104,1,1
105,1,14
106,1,2
107,1,16
108,1,17
109,1,25
110,1,4
111,1,5
112,1,1
113,1,5
114,1,2
115,1,33
116,1,20
117,1,2
118,1,23
119,1,12
120,1,14
121,1,10
122,1,7
123,1,46
124,1,16
125,1,42
126,1,2
127,1,38
128,1,20
129,1,32
130,1,7
131,1,20
132,1,7
133,1,116
134,1,60
135,1,169
136,1,15
137,1,2
138,1,23
139,1,304
140,1,289
141,1,25
142,1,210
143,1,71
144,1,230
145,1,542
146,1,716
147,1,99
148,1,28
149,1,421
150,1,520
151,1,734
152,1,520
153,1,963
154,1,379
155,1,130
156,1,487
157,1,263
158,1,392
159,2,1073
160,2,867
161,2,862
162,2,345
163,3,1642
