Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,17.74810966727085,5,0,574,4
2,17.74810966727085,5,0,574,4
3,15.164446796338279,10,0,574,4
4,15.164446796338279,10,0,574,4
5,14.07604169161458,10,0,574,4
6,14.07604169161458,10,0,574,4
7,14.07604169161458,10,0,574,4
8,14.07604169161458,10,0,574,4
9,14.07604169161458,10,0,574,4
10,13.618251330017014,8,0,574,4
11,13.618251330017014,8,0,574,4
12,13.612879655133893,8,0,574,4
13,13.612879655133893,8,0,574,4
14,13.612879655133893,8,0,574,4
15,13.612879655133893,8,0,574,4
16,13.612879655133893,8,0,574,4
17,13.612879655133893,8,0,574,4
18,13.612879655133893,8,0,574,4
19,13.612879655133893,8,0,574,4
20,13.612879655133893,8,0,574,4
21,13.612879655133893,8,0,574,4
22,13.612879655133893,8,0,574,4
