Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,6.461400763732523,3,0,125,2
2,6.461400763732523,3,0,125,2
3,6.461400763732523,3,0,125,2
4,2.414155596510298,3,0,125,2
5,2.414155596510298,3,0,125,2
6,2.414155596510298,3,0,125,2
7,2.414155596510298,3,0,125,2
8,2.414155596510298,3,0,125,2
9,2.414155596510298,3,0,125,2
10,2.414155596510298,3,0,125,2
11,2.414155596510298,3,0,125,2
12,1.3033641271176766,2,0,125,2
13,1.3033641271176766,2,0,125,2
14,1.3033641271176766,2,0,125,2
15,1.3033641271176766,2,0,125,2
16,1.3033641271176766,2,0,125,2
17,1.3033641271176766,2,0,125,2
18,0.5341295988260608,2,0,125,2
19,0,0,0,125,2
