Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,4.067385175803588,3,0,86,1
2,4.067385175803588,3,0,86,1
3,3.8414652388649397,2,0,86,1
4,2.099784853564648,3,0,86,1
5,2.099784853564648,3,0,86,1
6,2.099784853564648,3,0,86,1
7,2.099784853564648,3,0,86,1
8,2.099784853564648,3,0,86,1
9,2.099784853564648,3,0,86,1
10,2.099784853564648,3,0,86,1
11,2.099784853564648,3,0,86,1
12,0.7992926804013365,3,0,86,1
13,0.7992926804013365,3,0,86,1
14,0.7992926804013365,3,0,86,1
15,0.7992926804013365,3,0,86,1
16,0,0,0,86,1
