Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,4.485320086625407,3,0,625,5
2,4.485320086625407,3,0,625,5
3,4.485320086625407,3,0,625,5
4,4.485320086625407,3,0,625,5
5,4.485320086625407,3,0,625,5
6,4.485320086625407,3,0,625,5
7,4.485320086625407,3,0,625,5
8,4.485320086625407,3,0,625,5
9,4.462156341170416,5,0,625,5
10,4.462156341170416,5,0,625,5
11,4.462156341170416,5,0,625,5
12,4.462156341170416,5,0,625,5
13,4.462156341170416,5,0,625,5
14,4.462156341170416,5,0,625,5
15,4.462156341170416,5,0,625,5
16,4.462156341170416,5,0,625,5
17,4.462156341170416,5,0,625,5
18,4.462156341170416,5,0,625,5
19,4.462156341170416,5,0,625,5
