Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,13.934591676373628,4,0,40,0
2,13.934591676373628,4,0,40,0
3,13.934591676373628,4,0,40,0
4,13.934591676373628,4,0,40,0
5,13.934591676373628,4,0,40,0
6,13.934591676373628,4,0,40,0
7,7.622582476093344,6,0,40,0
8,7.622582476093344,6,0,40,0
9,7.622582476093344,6,0,40,0
10,7.622582476093344,6,0,40,0
11,7.622582476093344,6,0,40,0
12,7.622582476093344,6,0,40,0
13,7.622582476093344,6,0,40,0
14,7.622582476093344,6,0,40,0
15,7.622582476093344,6,0,40,0
16,7.622582476093344,6,0,40,0
17,7.622582476093344,6,0,40,0
