Gebiet-Name:
siedler1

Gesundheitszentren:


Ortschaften:
(60.24733285065881, 14.713359675813168)
(163.35354112455994, 29.512073391927498)
(146.24720607894184, 71.85811653890478)
(145.91139390637665, 40.25004068403891)
(178.45087452860523, 15.115285028177889)
(175.57168444658166, 109.86078328663196)
(197.36732749840561, 27.37522040922933)
(144.35923815521656, 94.40044821397544)
(112.12743330408752, 68.61634679924992)
(157.72571694133424, 9.773148102931867)
(166.83752460185576, 90.1078604465953)
(128.15035137477457, 49.58156383893143)
(191.77049974373136, 65.78002851717645)
(119.89278238467983, 28.204248393858137)
(198.0109312967445, 4.795121267368012)
(194.7386638047112, 144.3529039901166)
(127.54934551945489, 83.47789339326576)
(98.76909230346477, 45.1691932213898)
(168.3516804402595, 137.68686946780167)
(167.380605796529, 65.0664726649039)
(180.58129413942189, 45.70997721235431)
(78.20962698257388, 50.73115529596477)
(190.9010820142893, 202.33638718077657)
(111.75747432553628, 8.771837338103978)
(196.07186951777342, 222.61459446235003)

zunahe Ortschaften:


geschuetzte Ortschaften:


Ortschaften ausserhalb dem Gebiet:
