Gebiet-Name:
siedler1

Gesundheitszentren:


Ortschaften:
(60.24733285065881, 14.713359675813168)
(193.61178250851614, 24.56074994257122)
(163.35354112455994, 29.512073391927498)
(132.23447471317164, 81.08292302521384)
(122.34948900064249, 58.06838772926596)
(175.57168444658166, 109.86078328663196)
(159.9326597423411, 84.12532066897825)
(195.8804364180303, 3.888071125131508)
(191.77049974373136, 65.78002851717645)
(144.5450002153401, 37.7410102611647)
(194.7386638047112, 144.3529039901166)
(92.9847121028673, 38.42871112915949)
(160.80320089750637, 51.80821252803054)
(168.3516804402595, 137.68686946780167)
(180.58129413942189, 45.70997721235431)
(170.96004306171602, 3.993897786930449)
(190.9010820142893, 202.33638718077657)
(111.75747432553628, 8.771837338103978)
(196.07186951777342, 222.61459446235003)

zunahe Ortschaften:


geschuetzte Ortschaften:


Ortschaften ausserhalb dem Gebiet:
