Gebiet-Name:
siedler1

Gesundheitszentren:


Ortschaften:
(60.24733285065881, 14.713359675813168)
(110.28112234385485, 63.735885041838245)
(163.35354112455994, 29.512073391927498)
(143.38448059219843, 60.82355612947627)
(145.91139390637665, 40.25004068403891)
(178.45087452860523, 15.115285028177889)
(175.57168444658166, 109.86078328663196)
(197.36732749840561, 27.37522040922933)
(144.35923815521656, 94.40044821397544)
(157.72571694133424, 9.773148102931867)
(166.83752460185576, 90.1078604465953)
(191.77049974373136, 65.78002851717645)
(119.89278238467983, 28.204248393858137)
(198.0109312967445, 4.795121267368012)
(127.16653782449379, 76.51016649577186)
(194.7386638047112, 144.3529039901166)
(92.9847121028673, 38.42871112915949)
(168.3516804402595, 137.68686946780167)
(167.380605796529, 65.0664726649039)
(180.58129413942189, 45.70997721235431)
(190.9010820142893, 202.33638718077657)
(111.75747432553628, 8.771837338103978)
(196.07186951777342, 222.61459446235003)

zunahe Ortschaften:


geschuetzte Ortschaften:


Ortschaften ausserhalb dem Gebiet:
