Gebiet-Name:
siedler1

Gesundheitszentren:


Ortschaften:
(182.82757328363786, 63.159765040977824)
(162.52652804836453, 61.54779720857719)
(169.24119206482675, 109.1062953948018)
(199.79197197072963, 144.74531052740693)
(117.84048929339554, 16.722782564510446)
(85.08131546708012, 36.47820095161425)
(141.16995243923853, 79.42594332315745)
(194.01913030514572, 25.59658146455422)
(62.05727203247002, 23.961268026920482)
(171.53992505542405, 20.920553031762935)
(191.9387987778166, 193.7478712566598)
(168.96958857296, 139.63158799807306)
(120.45539097305382, 64.12379468946547)
(139.30542363570066, 42.733057729348545)
(172.0049923035582, 43.10523296191349)
(195.90031938536976, 217.9678878096838)
(179.16294740350978, 1.7789000405803774)
(168.39482864741794, 87.09131158859759)

zunahe Ortschaften:


geschuetzte Ortschaften:


Ortschaften ausserhalb dem Gebiet:
