Gebiet-Name:
siedler1

Gesundheitszentren:


Ortschaften:
(198.81603152349535, 139.6859416740045)
(158.8297099346587, 79.69188722577019)
(137.68358764413298, 76.45506259337354)
(185.80497683017268, 60.42806861073238)
(58.12254720286378, 35.678238409167086)
(177.71350003369844, 129.7458494635235)
(193.00958472992016, 26.66702855379374)
(162.82204158541452, 99.68674149597265)
(193.86032342913944, 215.0666289834021)
(162.4537510082541, 54.40209423917251)
(139.72366545770652, 54.22245980534895)

zunahe Ortschaften:


geschuetzte Ortschaften:


Ortschaften ausserhalb dem Gebiet:
