Gebiet-Name:
siedler1

Gesundheitszentren:


Ortschaften:
(189.74500412053925, 32.740419779017124)
(138.17136140301494, 61.63992187155867)
(136.63394999152067, 85.81180191968474)
(199.72450542897863, 135.48667443561376)
(194.74323881199595, 207.3731112694133)
(158.45929923649544, 56.1808567547012)
(180.5550927207874, 61.28338567854915)
(184.79845821750936, 121.94435300515829)
(171.19837763855813, 106.15208026970161)

zunahe Ortschaften:


geschuetzte Ortschaften:


Ortschaften ausserhalb dem Gebiet:
