Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,3.0602094408933755,3,0,748,6
2,3.0602094408933755,3,0,748,6
3,3.0602094408933755,3,0,748,6
4,3.0602094408933755,3,0,748,6
5,3.0602094408933755,3,0,748,6
6,3.0602094408933755,3,0,748,6
7,3.0602094408933755,3,0,748,6
8,2.0824969219008587,5,0,748,6
9,2.0824969219008587,5,0,748,6
10,2.0824969219008587,5,0,748,6
11,2.0824969219008587,5,0,748,6
12,2.0824969219008587,5,0,748,6
13,2.0824969219008587,5,0,748,6
14,2.0824969219008587,5,0,748,6
15,2.0824969219008587,5,0,748,6
16,2.0824969219008587,5,0,748,6
17,2.0824969219008587,5,0,748,6
18,2.0824969219008587,5,0,748,6
