Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,16.635774727393255,3,0,667,5
2,13.524309353653045,4,0,667,5
3,13.524309353653045,4,0,667,5
4,13.524309353653045,4,0,667,5
5,10.212818256571994,6,0,667,5
6,10.212818256571994,6,0,667,5
7,10.212818256571994,6,0,667,5
8,10.212818256571994,6,0,667,5
9,10.212818256571994,6,0,667,5
10,10.212818256571994,6,0,667,5
11,10.212818256571994,6,0,667,5
12,10.212818256571994,6,0,667,5
13,10.212818256571994,6,0,667,5
14,10.212818256571994,6,0,667,5
15,10.212818256571994,6,0,667,5
