Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,5.383764284932783,5,0,128,1
2,5.383764284932783,5,0,128,1
3,5.383764284932783,5,0,128,1
4,5.383764284932783,5,0,128,1
5,5.140101850817269,2,0,128,1
6,4.150747801637661,3,0,128,1
7,4.150747801637661,3,0,128,1
8,2.388866926990806,5,0,128,1
9,2.388866926990806,5,0,128,1
10,2.388866926990806,5,0,128,1
11,2.388866926990806,5,0,128,1
12,2.388866926990806,5,0,128,1
13,2.388866926990806,5,0,128,1
14,2.388866926990806,5,0,128,1
15,2.388866926990806,5,0,128,1
16,2.388866926990806,5,0,128,1
17,2.388866926990806,5,0,128,1
18,2.388866926990806,5,0,128,1
