Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,9.208501307046703,6,0,93,0
2,9.208501307046703,6,0,93,0
3,7.085802798984915,8,0,93,0
4,7.085802798984915,8,0,93,0
5,7.085802798984915,8,0,93,0
6,7.085802798984915,8,0,93,0
7,7.085802798984915,8,0,93,0
8,7.085802798984915,8,0,93,0
9,7.085802798984915,8,0,93,0
10,7.085802798984915,8,0,93,0
11,6.720799502064857,10,0,93,0
12,6.720799502064857,10,0,93,0
13,6.720799502064857,10,0,93,0
14,6.720799502064857,10,0,93,0
15,6.720799502064857,10,0,93,0
16,5.245192801120048,6,0,93,0
17,5.18152599050582,5,0,93,0
18,4.8626233832267935,3,0,93,0
19,0,0,0,93,0
