Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,17.90939767980426,4,0,118,0
2,13.115934302154294,5,0,118,0
3,13.115934302154294,5,0,118,0
4,9.227012188383263,6,0,118,0
5,9.227012188383263,6,0,118,0
6,9.227012188383263,6,0,118,0
7,9.227012188383263,6,0,118,0
8,6.335601827132532,3,0,118,0
9,1.6461413838424797,3,0,118,0
10,0.6323453531327807,3,0,118,0
11,0.6323453531327807,3,0,118,0
12,0.6323453531327807,3,0,118,0
13,0.6323453531327807,3,0,118,0
14,0.24709102145261497,2,0,118,0
15,0.24709102145261497,2,0,118,0
16,0,0,0,118,0
