Gebiet-Name:
siedler2

Gesundheitszentren:


Ortschaften:
(9.786222122381211, 7.368277185081469)
(24.274895796762113, 33.811195652412195)
(-0.349719552355225, -88.30184071588121)
(-29.807049360657384, -1.514018573304972)
(15.326070985805124, -13.756062359008045)
(-28.069321421232207, -24.27415757266173)
(-4.633461470772403, -50.52675413109136)
(5.093939689138452, 44.442425475056126)
(-49.18381799171569, -14.093085462493672)
(-20.403515984690934, 37.72090124119607)
(30.803977699638608, 2.986570999905421)
(76.16778689373226, 21.468890722184213)
(-10.957972760469808, 19.543951546914897)
(-9.570127785560532, -12.014821308658538)

zunahe Ortschaften:


geschuetzte Ortschaften:


Ortschaften ausserhalb dem Gebiet:
