Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,6.5136490810430505,3,0,765,6
2,6.5136490810430505,3,0,765,6
3,6.5136490810430505,3,0,765,6
4,6.5136490810430505,3,0,765,6
5,6.5136490810430505,3,0,765,6
6,3.180420124697645,4,0,765,6
7,3.180420124697645,4,0,765,6
8,3.180420124697645,4,0,765,6
9,3.180420124697645,4,0,765,6
10,3.180420124697645,4,0,765,6
11,3.180420124697645,4,0,765,6
12,3.180420124697645,4,0,765,6
13,3.180420124697645,4,0,765,6
14,3.180420124697645,4,0,765,6
15,3.180420124697645,4,0,765,6
16,3.180420124697645,4,0,765,6
