Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,5.275015868891996,3,0,120,1
2,4.056164445994749,3,0,120,1
3,4.056164445994749,3,0,120,1
4,4.056164445994749,3,0,120,1
5,3.814770439598828,5,0,120,1
6,3.814770439598828,5,0,120,1
7,3.814770439598828,5,0,120,1
8,3.814770439598828,5,0,120,1
9,3.814770439598828,5,0,120,1
10,3.814770439598828,5,0,120,1
11,3.814770439598828,5,0,120,1
12,3.814770439598828,5,0,120,1
13,3.814770439598828,5,0,120,1
14,3.814770439598828,5,0,120,1
15,3.814770439598828,5,0,120,1
