Gebiet-Name:
siedler4

Gesundheitszentren:


Ortschaften:
(60.98438664120053, 54.81289909144718)
(174.04507157706922, 41.14983609186998)
(49.955676112211776, -1.9620538042635651)
(86.1945436604971, 62.845874740667796)
(15.331297928117552, -17.92391639162908)
(41.555345223208846, 29.768965871489954)
(90.91052771497549, 38.403744425868446)
(107.33049682841272, 24.819547570493725)
(151.52981686967206, 24.90227507008573)
(187.9384281720121, -13.022363599091147)
(129.36426231103914, 32.65423040599396)
(170.7412743683514, -2.2793578443690468)
(64.61994764354019, 21.989288432837903)
(20.853292772193086, 18.51937033417181)
(22.682519186811184, 80.04160935854381)
(145.52436087981528, -17.978004682539986)
(193.35674910995476, 12.963862405136027)
(141.83023791273988, 4.925508269952232)
(145.27311772763906, 71.62838165641332)
(69.99925639221073, -1.933942988637058)
(85.33509115877919, 18.40545324400373)
(35.450817637615984, -17.56327619977654)
(25.511602371485512, 46.05384288447893)
(124.74491591833042, -8.829988476070175)
(3.4461599564977963, 51.99582386264803)
(98.24456541453256, -16.83760563437108)

zunahe Ortschaften:


geschuetzte Ortschaften:


Ortschaften ausserhalb dem Gebiet:
