Gebiet-Name:
siedler4

Gesundheitszentren:


Ortschaften:
(153.86669051351862, 26.822205287283346)
(108.60413861869088, -14.119209523639821)
(182.60864203502203, -18.346881566860212)
(43.12501424472633, -16.6444106886831)
(2.083305235102415, 39.60384663569386)
(89.6754879227397, 56.74867802649468)
(22.251882829065266, -12.299947720055455)
(173.50383734121576, 0.11011624598435832)
(35.92316219898494, 8.257208020694502)
(34.619101823150935, 31.97588048009618)
(21.039139895626064, 73.23863926804763)
(171.80047664940267, 38.259783508932315)
(72.40414123824924, -3.4192092130569147)
(189.91115096874853, 16.757449287572463)
(86.24436268156775, 32.78465532548154)
(55.763781470508086, 13.246344637552271)
(111.84312151359022, 23.22974383721973)
(69.16632092458553, 56.46376313765794)

zunahe Ortschaften:


geschuetzte Ortschaften:


Ortschaften ausserhalb dem Gebiet:
