Gebiet-Name:
siedler4

Gesundheitszentren:


Ortschaften:
(60.98438664120053, 54.81289909144718)
(49.955676112211776, -1.9620538042635651)
(86.1945436604971, 62.845874740667796)
(15.331297928117552, -17.92391639162908)
(41.555345223208846, 29.768965871489954)
(107.33049682841272, 24.819547570493725)
(187.9384281720121, -13.022363599091147)
(105.66345493417687, -19.96154332850249)
(171.34039329489102, 6.629875647552311)
(148.32276946149918, 2.201158192227715)
(20.853292772193086, 18.51937033417181)
(22.682519186811184, 80.04160935854381)
(193.35674910995476, 12.963862405136027)
(145.34808334989862, 22.93838515863707)
(69.99925639221073, -1.933942988637058)
(83.94064276084958, 42.08109998062481)
(78.35423655002946, 19.532106126912026)
(35.450817637615984, -17.56327619977654)
(25.511602371485512, 46.05384288447893)
(3.4461599564977963, 51.99582386264803)
(165.92887812055682, 32.22872066617965)

zunahe Ortschaften:


geschuetzte Ortschaften:


Ortschaften ausserhalb dem Gebiet:
