Gebiet-Name:
siedler4

Gesundheitszentren:


Ortschaften:
(60.98438664120053, 54.81289909144718)
(49.955676112211776, -1.9620538042635651)
(86.1945436604971, 62.845874740667796)
(15.331297928117552, -17.92391639162908)
(41.555345223208846, 29.768965871489954)
(90.91052771497549, 38.403744425868446)
(107.33049682841272, 24.819547570493725)
(187.9384281720121, -13.022363599091147)
(105.66345493417687, -19.96154332850249)
(136.3033950105747, -8.302133219874634)
(170.7412743683514, -2.2793578443690468)
(64.61994764354019, 21.989288432837903)
(20.853292772193086, 18.51937033417181)
(22.682519186811184, 80.04160935854381)
(193.35674910995476, 12.963862405136027)
(145.27311772763906, 71.62838165641332)
(69.99925639221073, -1.933942988637058)
(85.33509115877919, 18.40545324400373)
(35.450817637615984, -17.56327619977654)
(25.511602371485512, 46.05384288447893)
(141.48376024061344, 31.21028621155625)
(146.52650777375817, 9.662563737823312)
(3.4461599564977963, 51.99582386264803)
(165.92887812055682, 32.22872066617965)

zunahe Ortschaften:


geschuetzte Ortschaften:


Ortschaften ausserhalb dem Gebiet:
