Gebiet-Name:
siedler4

Gesundheitszentren:


Ortschaften:
(173.50383734121576, 0.11011624598435832)
(89.6754879227397, 56.74867802649468)
(153.86669051351862, 26.822205287283346)
(108.60413861869088, -14.119209523639821)
(182.60864203502203, -18.346881566860212)
(49.63278674577171, 15.712474591722584)
(43.12501424472633, -16.6444106886831)
(21.039139895626064, 73.23863926804763)
(72.40414123824924, -3.4192092130569147)
(2.083305235102415, 39.60384663569386)
(26.612586336178644, 8.749529351536)
(189.91115096874853, 16.757449287572463)
(86.24436268156775, 32.78465532548154)
(111.84312151359022, 23.22974383721973)
(69.16632092458553, 56.46376313765794)

zunahe Ortschaften:


geschuetzte Ortschaften:


Ortschaften ausserhalb dem Gebiet:
