Iteration,Loss,#OrtschaftenZuNah,#OrtschaftenNichtImGebiet,#Ortschaften,#Gesundheitszentren
1,2.198266214323393,4,0,124,1
2,2.198266214323393,4,0,124,1
3,2.198266214323393,4,0,124,1
4,2.198266214323393,4,0,124,1
5,2.198266214323393,4,0,124,1
6,0.9736851514689953,2,0,124,1
7,0.9736851514689953,2,0,124,1
8,0.9736851514689953,2,0,124,1
9,0.9736851514689953,2,0,124,1
10,0.9736851514689953,2,0,124,1
11,0.9736851514689953,2,0,124,1
12,0.9736851514689953,2,0,124,1
13,0.9736851514689953,2,0,124,1
14,0.9736851514689953,2,0,124,1
15,0.12822176947383213,2,0,124,1
16,0,0,0,124,1
